Taxa	trichomes
HM001:HM001	52.57
HM002:HM002	72.95
HM003:HM003	77.95
HM004:HM004	82.67
HM005:HM005	77.4
HM006:HM006	72.67
HM007:HM007	63.48
HM008:HM008	52.52
HM009:HM009	92.72
HM010:HM010	60.23
HM011:HM011	44.58
HM012:HM012	56.31
HM013:HM013	81.23
HM014:HM014	70.74
HM015:HM015	58.83
HM016:HM016	72.24
HM017:HM017	45.5
HM018:HM018	104.77
HM019:HM019	89.24
HM020:HM020	73.87
HM021:HM021	67.21
HM023:HM023	61.4
HM024:HM024	62.77
HM026:HM026	74.1
HM027:HM027	84.14
HM028:HM028	61.98
HM029:HM029	14.4
HM030:HM030	31.47
HM031:HM031	118.95
HM032:HM032	71.45
HM033:HM033	65.2
HM034:HM034	65.08
HM036:HM036	85.79
HM037:HM037	76.41
HM038:HM038	42.54
HM039:HM039	74.17
HM040:HM040	77.55
HM041:HM041	72.22
HM042:HM042	84.63
HM043:HM043	65.63
HM044:HM044	76.1
HM045:HM045	65.17
HM046:HM046	58.05
HM047:HM047	73.5
HM048:HM048	92.95
HM049:HM049	109.95
HM050:HM050	98.38
HM051:HM051	49.34
HM052:HM052	61.47
HM053:HM053	72.2
HM054:HM054	88.67
HM055:HM055	67.95
HM056:HM056	28.75
HM057:HM057	81.67
HM058:HM058	34.74
HM059:HM059	47.31
HM060:HM060	64.22
HM061:HM061	72.41
HM062:HM062	64.67
HM063:HM063	57.66
HM064:HM064	77.02
HM065:HM065	54.71
HM066:HM066	87.35
HM067:HM067	62.65
HM068:HM068	47.42
HM069:HM069	82.84
HM071:HM071	63.83
HM072:HM072	71.95
HM073:HM073	66.97
HM074:HM074	86.6
HM075:HM075	45.95
HM077:HM077	59.15
HM078:HM078	48.51
HM079:HM079	62.95
HM081:HM081	58.33
HM082:HM082	35.98
HM083:HM083	51.95
HM084:HM084	68.6
HM085:HM085	65.81
HM086:HM086	59.39
HM087:HM087	62.92
HM088:HM088	50.95
HM089:HM089	88.45
HM091:HM091	69.81
HM092:HM092	70.74
HM093:HM093	59.52
HM095:HM095	69.21
HM096:HM096	52.42
HM097:HM097	73.11
HM098:HM098	71.79
HM099:HM099	77.37
HM101:HM101	48.67
HM106:HM106	78.31
HM107:HM107	100.24
HM108:HM108	68.03
HM109:HM109	67.24
HM112:HM112	62.34
HM114:HM114	60.67
HM115:HM115	59.52
HM117:HM117	77.83
HM118:HM118	41.67
HM119:HM119	49.74
HM120:HM120	47.38
HM121:HM121	63.33
HM122:HM122	58.45
HM124:HM124	54.7
HM125:HM125	56.1
HM126:HM126	81.22
HM128:HM128	76.4
HM129:HM129	45.27
HM134:HM134	80.85
HM135:HM135	73.49
HM138:HM138	100.95
HM139:HM139	65.47
HM141:HM141	71.6
HM145:HM145	72.48
HM146:HM146	87.33
HM147:HM147	75.18
HM149:HM149	74.9
HM150:HM150	79.77
HM151:HM151	58.4
HM152:HM152	105.35
HM153:HM153	74.95
HM154:HM154	65.7
HM155:HM155	87.03
HM156:HM156	65.41
HM157:HM157	58.82
HM158:HM158	60.3
HM159:HM159	75.38
HM160:HM160	59.7
HM162:HM162	57.88
HM163:HM163	87.02
HM164:HM164	64.47
HM165:HM165	86.93
HM166:HM166	64.91
HM167:HM167	64.77
HM168:HM168	52.4
HM169:HM169	103.2
HM170:HM170	92.93
HM172:HM172	77.38
HM173:HM173	89.79
HM175:HM175	69.38
HM176:HM176	88.31
HM177:HM177	57.21
HM178:HM178	81.24
HM179:HM179	71.72
HM181:HM181	60.58
HM183:HM183	67.08
HM184:HM184	67.23
HM185:HM185	84.23
HM186:HM186	69.18
HM187:HM187	66.33
HM188:HM188	67.87
HM189:HM189	61.58
HM190:HM190	86.39
HM191:HM191	48.98
HM192:HM192	85.55
HM193:HM193	117.91
HM194:HM194	54.2
HM195:HM195	54.67
HM196:HM196	87.2
HM197:HM197	81.36
HM198:HM198	103.95
HM199:HM199	79.2
HM200:HM200	64.1
HM201:HM201	75.92
HM202:HM202	67.8
HM203:HM203	63.36
HM205:HM205	65.98
HM207:HM207	62.95
HM209:HM209	67.52
HM211:HM211	69.95
HM213:HM213	80.74
HM214:HM214	68.08
HM216:HM216	57.27
HM217:HM217	75.54
HM218:HM218	86.36
